site_year_code,transect,point,height,species,native_status,life_history,plant_code,stature
NUWO-2012,5.0,90.0,Low,,,,,
NUWO-2012,13.0,150.0,Low,,,,,
NMS-2010,8.0,20.0,Low,achillea millefolium,Native,Perennial,ACMI,Forb
NMS-2010,24.0,4.0,Low,achillea millefolium,Native,Perennial,ACMI,Forb
NMS-2010,48.0,16.0,Low,achillea millefolium,Native,Perennial,ACMI,Forb
NMS-2010,60.0,16.0,Low,achillea millefolium,Native,Perennial,ACMI,Forb
NMS-2011,20.0,11.0,Low,achillea millefolium,Native,Perennial,ACMI,Forb
NMS-2011,20.0,23.0,Low,achillea millefolium,Native,Perennial,ACMI,Forb
NMS-2011,24.0,15.0,Low,achillea millefolium,Native,Perennial,ACMI,Forb
NMS-2011,36.0,15.0,Low,achillea millefolium,Native,Perennial,ACMI,Forb
NMS-2011,56.0,15.0,Low,achillea millefolium,Native,Perennial,ACMI,Forb
NMS-2012,8.0,20.0,Low,achillea millefolium,Native,Perennial,ACMI,Forb
NMS-2012,8.0,0.0,Low,achillea millefolium,Native,Perennial,ACMI,Forb
NMS-2012,24.0,8.0,Low,achillea millefolium,Native,Perennial,ACMI,Forb
NMS-2012,32.0,24.0,Low,achillea millefolium,Native,Perennial,ACMI,Forb
NMS-2012,32.0,20.0,Low,achillea millefolium,Native,Perennial,ACMI,Forb
NMS-2012,32.0,12.0,Low,achillea millefolium,Native,Perennial,ACMI,Forb
NMS-2012,36.0,8.0,Low,achillea millefolium,Native,Perennial,ACMI,Forb
NMS-2012,40.0,16.0,Low,achillea millefolium,Native,Perennial,ACMI,Forb
NMS-2012,48.0,12.0,Low,achillea millefolium,Native,Perennial,ACMI,Forb
NMS-2012,48.0,20.0,Low,achillea millefolium,Native,Perennial,ACMI,Forb
NMS-2012,56.0,0.0,Low,achillea millefolium,Native,Perennial,ACMI,Forb
NMS-2012,56.0,8.0,Low,achillea millefolium,Native,Perennial,ACMI,Forb
NMS-2012,60.0,16.0,Low,achillea millefolium,Native,Perennial,ACMI,Forb
NMS-2012,68.0,12.0,Low,achillea millefolium,Native,Perennial,ACMI,Forb
NMS-2010,48.0,8.0,Medium,achillea millefolium,Native,Perennial,ACMI,Forb
NMS-2012,8.0,20.0,Medium,achillea millefolium,Native,Perennial,ACMI,Forb
NUWO-2010,6.0,132.0,Low,achillea millefolium,Native,Perennial,ACMI,Forb
NUWO-2010,6.0,147.0,Low,achillea millefolium,Native,Perennial,ACMI,Forb
NUWO-2012,1.0,80.0,Low,achillea millefolium,Native,Perennial,ACMI,Forb
NUWO-2012,5.0,195.0,Low,achillea millefolium,Native,Perennial,ACMI,Forb
NUWO-2012,13.0,0.0,Low,achillea millefolium,Native,Perennial,ACMI,Forb
NUWO-2012,13.0,10.0,Low,achillea millefolium,Native,Perennial,ACMI,Forb
NUWO-2012,9.0,80.0,Low,achillea millefolium,Native,Perennial,ACMI,Forb
SUDU-2010,36.0,1.0,Low,achillea millefolium,Native,Perennial,ACMI,Forb
SUDU-2010,36.0,1.0,Medium,achillea millefolium,Native,Perennial,ACMI,Forb
SUDU-2010,36.0,13.0,Low,achillea millefolium,Native,Perennial,ACMI,Forb
SUDU-2010,36.0,43.0,Low,achillea millefolium,Native,Perennial,ACMI,Forb
SUDU-2010,42.0,13.0,Low,achillea millefolium,Native,Perennial,ACMI,Forb
SUDU-2011,35.0,8.0,Low,achillea millefolium,Native,Perennial,ACMI,Forb
SUDU-2011,35.0,43.0,Low,achillea millefolium,Native,Perennial,ACMI,Forb
SUDU-2011,56.0,29.0,Low,achillea millefolium,Native,Perennial,ACMI,Forb
SUDU-2011,70.0,22.0,Low,achillea millefolium,Native,Perennial,ACMI,Forb
SUDU-2012,21.0,56.0,Low,achillea millefolium,Native,Perennial,ACMI,Forb
SUDU-2012,35.0,42.0,Low,achillea millefolium,Native,Perennial,ACMI,Forb
SUDU-2012,49.0,42.0,Low,achillea millefolium,Native,Perennial,ACMI,Forb
SUDU-2012,70.0,35.0,Low,achillea millefolium,Native,Perennial,ACMI,Forb
SUDU-2012,70.0,14.0,Low,achillea millefolium,Native,Perennial,ACMI,Forb
NMS-2010,20.0,20.0,Low,anagalis arvensis,Exotic,Annual,ANAR,Forb
