Site-YearCode,Transect,Point,Height ,Species,Plant code,Native Status,Life History,Stature
NUWO-2012,5.0,90.0,Low,-,-,-,-,-
NUWO-2012,13.0,150.0,Low,-,-,-,-,-
NMS-2010,8.0,20.0,Low,Achillea millefolium,ACMI,Native,Perennial,Forb
NMS-2010,24.0,4.0,Low,Achillea millefolium,ACMI,Native,Perennial,Forb
NMS-2010,48.0,16.0,Low,Achillea millefolium,ACMI,Native,Perennial,Forb
NMS-2010,60.0,16.0,Low,Achillea millefolium,ACMI,Native,Perennial,Forb
NMS-2011,20.0,11.0,Low,Achillea millefolium,ACMI,Native,Perennial,Forb
NMS-2011,20.0,23.0,Low,Achillea millefolium,ACMI,Native,Perennial,Forb
NMS-2011,24.0,15.0,Low,Achillea millefolium,ACMI,Native,Perennial,Forb
NMS-2011,36.0,15.0,Low,Achillea millefolium,ACMI,Native,Perennial,Forb
NMS-2011,56.0,15.0,Low,Achillea millefolium,ACMI,Native,Perennial,Forb
NMS-2012,8.0,20.0,Low,Achillea millefolium,ACMI,Native,Perennial,Forb
NMS-2012,8.0,0.0,Low,Achillea millefolium,ACMI,Native,Perennial,Forb
NMS-2012,24.0,8.0,Low,Achillea millefolium,ACMI,Native,Perennial,Forb
NMS-2012,32.0,24.0,Low,Achillea millefolium,ACMI,Native,Perennial,Forb
NMS-2012,32.0,20.0,Low,Achillea millefolium,ACMI,Native,Perennial,Forb
NMS-2012,32.0,12.0,Low,Achillea millefolium,ACMI,Native,Perennial,Forb
NMS-2012,36.0,8.0,Low,Achillea millefolium,ACMI,Native,Perennial,Forb
NMS-2012,40.0,16.0,Low,Achillea millefolium,ACMI,Native,Perennial,Forb
NMS-2012,48.0,12.0,Low,Achillea millefolium,ACMI,Native,Perennial,Forb
NMS-2012,48.0,20.0,Low,Achillea millefolium,ACMI,Native,Perennial,Forb
NMS-2012,56.0,0.0,Low,Achillea millefolium,ACMI,Native,Perennial,Forb
NMS-2012,56.0,8.0,Low,Achillea millefolium,ACMI,Native,Perennial,Forb
NMS-2012,60.0,16.0,Low,Achillea millefolium,ACMI,Native,Perennial,Forb
NMS-2012,68.0,12.0,Low,Achillea millefolium,ACMI,Native,Perennial,Forb
NMS-2010,48.0,8.0,Medium,Achillea millefolium,ACMI,Native,Perennial,Forb
NMS-2012,8.0,20.0,Medium,Achillea millefolium,ACMI,Native,Perennial,Forb
NUWO-2010,6.0,132.0,Low,Achillea millefolium,ACMI,Native,Perennial,Forb
NUWO-2010,6.0,147.0,Low,Achillea millefolium,ACMI,Native,Perennial,Forb
NUWO-2012,1.0,80.0,Low,Achillea millefolium,ACMI,Native,Perennial,Forb
NUWO-2012,5.0,195.0,Low,Achillea millefolium,ACMI,Native,Perennial,Forb
NUWO-2012,13.0,0.0,Low,Achillea millefolium,ACMI,Native,Perennial,Forb
NUWO-2012,13.0,10.0,Low,Achillea millefolium,ACMI,Native,Perennial,Forb
NUWO-2012,9.0,80.0,Low,Achillea millefolium,ACMI,Native,Perennial,Forb
NMS-2010,20.0,20.0,Low,Anagalis arvensis,ANAR,Exotic,Annual,Forb
NUWO-2012,9.0,170.0,Low,Anagallis arvensis,ANAR,-,-,-
NMS-2010,40.0,24.0,Low,Anaphalis margaritacea,ANMA,Native,Perennial,Forb
NMS-2010,48.0,8.0,Low,Anaphalis margaritacea,ANMA,Native,Perennial,Forb
NMS-2010,48.0,16.0,Low,Anaphalis margaritacea,ANMA,Native,Perennial,Forb
NMS-2011,32.0,3.0,Low,Anaphalis margaritacea,ANMA,Native,Perennial,Forb
NMS-2012,4.0,16.0,Low,Anaphalis margaritacea,ANMA,Native,Perennial,Forb
NMS-2012,20.0,24.0,Low,Anaphalis margaritacea,ANMA,Native,Perennial,Forb
NMS-2012,44.0,24.0,Low,Anaphalis margaritacea,ANMA,Native,Perennial,Forb
NMS-2012,52.0,20.0,Low,Anaphalis margaritacea,ANMA,Native,Perennial,Forb
NMS-2012,56.0,8.0,Low,Anaphalis margaritacea,ANMA,Native,Perennial,Forb
NMS-2012,56.0,24.0,Low,Anaphalis margaritacea,ANMA,Native,Perennial,Forb
NMS-2012,32.0,12.0,Low,Anaphalis margaritacea,ANMA,Native,Perennial,Forb
