life_history,native_status,plant_code,species,stature
Perennial,Native,ACMI,achillea millefolium,Forb
Annual,Exotic,ANAR,anagalis arvensis,Forb
Perennial,Native,ANMA,anaphalis margaritacea,Forb
Perennial,Native,ARMA,armeria maritima,Forb
Perennial,Native,ASCH,aster chilensis,Forb
Annual,Exotic,AVSP,avena sp.,Grass
Annual,Exotic,AVSP,avsp litter,Grass
Perennial,Native,BAPI,baccharis pilularis,Shrub
Annual,Exotic,BRMA,briza maxima,Grass
Annual,Exotic,BRMA,brma litter,Grass
Annual,Exotic,BRDI,bromus diandrus,Grass
Annual,Exotic,BRDI,brdi litter,Grass
Annual,Exotic,CAPY,carduus pycnocephalus,Forb
Perennial,Native,CETH,ceanothus thyrsiflorus,Shrub
Annual,Exotic,CEGL,cerastium glomeratum,Forb
Annual,Native,COSP,conyza sp.,Forb
Perennial,Exotic,CUMA,cuma litter,Tree
Perennial,Exotic,CUMA,cupressus macrocarpa,Tree
Perennial,Exotic,CUMA,cypress litter,Tree
Perennial,Native,ELGL,elymus glaucus,Grass
Perennial,Native,ERGL,erigeron glaucus,Forb
Perennial,Native,ERLA,eriogonum latifolium,Forb
Perennial,Native,ERST,eriophyllum staechadifolium,Shrub
Annual,Native,ESCA,eschscholzia californica,Forb
Perennial,Native,FRCH,fragaria chiloensis,Forb
Annual,Exotic,FUPA,fumaria parviflora,Forb
Annual,Exotic,GEMO,geranium molle,Forb
Annual,Exotic,GNLU,gnaphalium luteoalbum,Forb
Annual,Native,GNST,gnaphalium stramineum,Forb
Perennial,Native,GRHI,grindelia hirsutula,Forb
Perennial,Native,GRHI,grindelia hirsutula var. hirsutula,Forb
Annual,Native,HETE,hesperocnide tenella,Forb
Annual,Exotic,HOMA,hordeum marinum,Grass
Annual,Exotic,HOSP,hordeum sp.,Grass
Perennial,Native,IRDO,iris douglasii,Forb
Annual,Exotic,LOSP,lolium sp.,Grass
Annual,Exotic,LOSP,losp litter,Grass
Perennial,Native,LUAR,lupinus arboreus,Shrub
Perennial,Native,LUCH,lupinus chamissonis,Shrub
Annual,Native,MASA,madia sativa,Forb
Perennial,Native,MIAU,mimulus aurantiacus,Forb
Annual,Exotic,PHPA,phalaris paradoxa,Grass
Annual,Exotic,POTE,polycarpon tetraphyllum,Forb
Annual,Exotic,RASA,raphanus sativus,Forb
Perennial,Native,RUUR,rubus ursinus,Shrub
Perennial,Native,RUSA,rumex salicifolius,Forb
Perennial,Native,SCCA,scrophularia californica,Forb
Annual,Exotic,SOSP,solanum sp.,Forb
Annual,Exotic,SOOL,sonchus oleraceous,Forb
Perennial,Native,ARPY,artemisa pycnocephala,Forb
Perennial,Native,POPA,polygonum paranychium,Forb
Perennial,Native,CARA,cardionema radicata,Forb
Perennial,Native,LEMO,leymus mollis,Grass
Perennial,Native,ERER,ericameria ericoides,Shrub
Perennial,Native,AMCH,ambrosia chamissonis,Shrub
Perennial,Exotic,LOMA,lobularia maritima,Forb
Perennial,Exotic,ALLO,albizia lophantha,Tree
Perennial,Native,ABLA,abronia latifolia,Forb
Perennial,Native,JULE,juncus lesuerii,Rush/Sedge
